Aarti Sreenivas,,,,,,AartiSreenivas.jpg,,,"Aarti Sreenivas is the Business Development Manager at TAIGER - one of South-East Asia’s fastest growing Artificial Intelligence startups - where she develops strategies for international expansion and manages partnerships. Prior to her current role, Aarti was with LenddoEFL where she was involved in building and analysing complex financial models, enabling business leaders in the organisation to make data-driven strategic decisions and played an integral role in launching cross-functional projects across the company. Aarti has also previously led fund raising efforts at two Fintech startups and began her career as an analyst in the Private Equity sector. She holds a Bachelors in Law from the University of Manchester and a Masters in International Law from Georgetown University.",,,Business Development Manager,TAIGER,Georgetown University Law Center,"International Law, Financial Regulation, Securities Regulation"
Adrien Chee,,,,,,AdrienChee.jpg,,,"Adrien Chee is a Southeast Asia Ecology Analyst at UBS, where he specialises in renewable energy strategy and ecology in the region. He is also a current Policy Research Writer at The Wilberforce Society. In addition, Adrien was a Gold Award winner for the 2018 Climate Action at United Nations Sustainable Development Goals Innovation Lab UNLEASH. Reflecting on his journey at UBS, Adrien was blessed with mentors who were willing to guide and expose him to various opportunities that have aided in his growth and expertise in the field. While he may have figured out his passion and career choice early on in his life, Adrien believes that it was his mentors’ guidance and trust that laid the foundation for him to excel. He believes it is essential to provide support for the future generations and hopes to give back to students in these trying times. ",,,Ecology Analyst,UBS,Nanyang Technological University,Mass Communication and Media Studies
Alex Tan,,,,,,AlexTan.jpg,,,"Alex Tan is the Co-Founder and Chief Technology Officer of a Fintech Startup (Stealth Mode). Prior to his current role, Alex was the Co-Founder and Chief Technology Officer of KOKU, a young Fintech startup, amongst various other startups he launched. He was personally involved in the tech recruitment process to help various product teams scale up as well. As a technopreneur and team builder at heart, Alex is passionate about coaching and inspiring people to become better versions of themselves. With a firm belief in using technology as a catalyst to promote a more inclusive and sustainable world, he actively volunteers as a technology partner at a social enterprise that employs the deaf and individuals with mental health conditions. Alex also enjoys attending meetups to meet new people and expand his knowledge.",,,Co-Founder and Chief Technology Officer,Fintech Startup (Stealth Mode),National University of Singapore,Computer Engineering
Alex Yeo,,,,,,AlexYeo.jpg,,,"Alex Yeo is an Analyst in the Global Market Insights Strategy team at J.P. Morgan Asset Management. He is responsible for publications such as the Guide to the Markets and Weekly Market Recap, as well as conducting research on the global economy and capital markets. Alex joined J.P. Morgan as a Summer Analyst in Singapore and began his career in Hong Kong where he has worked in various strategy, product and relationship management functions. He holds a Bachelor of Science (Economics) from the London School of Economics and Political Science. Alex is also a Chartered Alternative Investment Analyst (CAIA) Charterholder.
",,,Analyst,J.P Morgan ,London School of Economics,Economics
Aloysius Sim,,,,,,AloysiusSim.jpg,,,"Aloysius Sim is the Talent & Organizational Development Director for APMEA at Signify, a leading global firm in providing lighting products for professionals and consumers, as well as lighting solutions for the Internet of Things (IoT). Before transitioning to his current role in Talent Management, Aloysius has had a wealth of experience in various industries. He began his career as a Management Trainee, and subsequently, a Project Team Lead with Siemens Building Technologies. Thereafter, he pursued a career in recruitment with international firms such as Robert Walters and Hudson. He was the APAC Talent Acquisition Lead of Energizer before joining Signify as the Regional Head of Talent Acquisition. As a trusted advisor to business leaders, Aloysius is passionate about identifying and developing talents to achieve business goals and also their personal goals. He is a graduate from Nanyang Technological University, where he holds a Bachelor of Mechanical Engineering.",,,"Director, Talent & Organizational Development (APMEA)",Signify,Nanyang Technological University,Mechanical Engineering
Anastasia Shamgunova,,,,,,AnastasiaShamgunova.jpg,,,"Anastasia Shamgunova joined Kaspersky Lab as the HR director for APAC in 2015. In her role, she is responsible for leading and managing the APAC Human Resources team so as to achieve long-term business targets. She is a valued member of the regional management team as an advisor and business partner in developing and implementing business strategies and evaluating results. With more than a decade of experience in the Human Resources field, she has brought the APAC business to a higher level of productivity, staff engagement and performance. Before Kaspersky Lab, she held leadership positions at Volvo Group, Ford Motor and Raiffeisen Bank. Anastasia is a seasoned and versatile professional with many years of Human Resources and managerial experience in various industries. ",,,HR Director (APAC),Kaspersky Lab,Saint Petersburg State University,International Relations 
Andy Teoh,,,,,,AndyTeoh.jpg,,,"Andy Teoh is a Data Science Leader in MSD, a leading global biopharmaceutical company. He is currently based in Taiwan. His previous appointments in MSD include Data Science Leader in Korea and Decision Science APJ Lead in Singapore. Prior to his role in MSD, Andy was one of the senior pioneering data scientists at NCS, leading regional ICT solutions provider owned by Singtel Group Enterprise. Andy also completed his PhD program under the prestigious bond-free NGS scholarship at the National University of Singapore in 2014. As an entrepreneur active in the start-up scene, Andy was appointed as a director in the Singapore Society of Modern Management. He loves challenges, and hope that the way he works and how he lives his life can inspire others to make this world a better place for everyone.",,,Data Science Leader,MSD,National University of Singapore,Quantum Physics
Annabelle Kwok,,,,,,AnnabelleKwok.jpg,,,"Annabelle Kwok is the Director of Regional Artificial Intelligence (AI) in Asia at Prudential, where she employs a data-driven approach to calculate risk and pricing and builds AI learning loops to help individuals better manage their health. She was the Founder of NeuralBay, an AI company that specialises in building video analytics software for Multinational Corporations and Smart Nation initiatives and was also the Founder of SmartCow, a hardware company specializing in the deployment of AI. Annabelle has been featured on multiple occasions by media companies including Bloomberg, NVIDIA, and Apple, amongst others. She was a finalist of the Singaporean of the Year Award 2018 and Singapore Youth Award 2019. Annabelle was also a recipient of several top accolades, such as the Nanyang Technological University Young Alumni Award 2019, HerWorld Young Woman Achiever Award 2019, Singapore Tatler Generation T Award 2018, Robb Report Thought Leaders Award 2019 and Zico Asean 40 under 40 Award 2018. Annabelle is on the selection committee for multiple awards such as the President’s Science Award 2018 and 2019 in Singapore and the Tech Playmaker Award 2018 and 2019 by Booking.Com. She has been a volunteer at Make-A-Wish Foundation since 2011 and was one of 21 leaders chosen by U.S. President Obama to help design workshops on behalf of the Obama Foundation Asia Pacific.",,,"Director, Regional AI (Asia)",Prudential,Nanyang Technological University,Mathematics and Minor in Entrepreneurship
Arvin Tang,,,,,,ArvinTang.jpg,,,"Arvin Tang is the Managing Director at AKÏN, an integrated marketing agency that helps brands design human-centered experiences. He is responsible for its growth strategy and demand generation. At present, he also spearheads the regional offices in Indonesia and Hong Kong. As part of his role, Arvin champions brand storytelling, inbound marketing strategies, and technological innovation for both internal and external stakeholders. Through AKÏN, he has delivered digital transformation interventions for government bodies, regional enterprises, and global software companies. His 2019 goal is to continually nurture partnerships with like-minded partners and individuals, driving value creation and humanising brands as an enabled eco-system.",,,Managing Director,AKÏN,National University of Singapore,Economics
Benjamin Lee,,,,,,BenjaminLee.jpg,,,"Benjamin Lee is the Deputy Director for the China Division of Enterprise Singapore, overseeing the South China portfolio. An experienced business development professional specialising in the China market, he is responsible for facilitating Singapore companies’ entry into South China. Prior to joining Enterprise Singapore, Benjamin served as the Assistant General Manager at Sino-Singapore Tianjin Eco-city Co Ltd, the master developer for the Tianjin Eco-city, where he oversaw the strategic planning department. He also had stints in the Ministry of National Development and Ministry of Education. Benjamin holds a Bachelor of Social Sciences (Honours) from the National University of Singapore, and a Postgraduate Diploma in Education from the Nanyang Technological University. He was awarded the Public Service Commission Local Merit Scholarship in 1998, and the President’s Scout Award in 1997. In his free time, Benjamin enjoys travelling and golfing.",,,Deputy Director ,Enterprise Singapore,National University of Singapore,Geography and Mathematics
